Test_Type,Node_Count,Fanout,Test_Run,Result,Details
dissemination,20,3,6,SUCCESS,Valid message dissemination
dissemination,20,3,7,SUCCESS,Valid message dissemination
dissemination,20,3,8,SUCCESS,Valid message dissemination
dissemination,20,3,9,SUCCESS,Valid message dissemination
dissemination,20,3,10,SUCCESS,Valid message dissemination
dissemination,20,3,11,SUCCESS,Valid message dissemination
dissemination,20,3,12,SUCCESS,Valid message dissemination
dissemination,20,3,13,SUCCESS,Valid message dissemination
dissemination,20,3,14,SUCCESS,Valid message dissemination
dissemination,20,3,15,SUCCESS,Valid message dissemination
dissemination,20,3,16,SUCCESS,Valid message dissemination
dissemination,20,3,17,SUCCESS,Valid message dissemination
dissemination,20,3,18,SUCCESS,Valid message dissemination
dissemination,20,3,19,SUCCESS,Valid message dissemination
dissemination,20,3,20,SUCCESS,Valid message dissemination
dissemination,20,3,21,SUCCESS,Valid message dissemination
dissemination,20,3,22,SUCCESS,Valid message dissemination
dissemination,20,3,23,SUCCESS,Valid message dissemination
dissemination,20,3,24,SUCCESS,Valid message dissemination
dissemination,20,3,25,SUCCESS,Valid message dissemination
dissemination,20,3,26,SUCCESS,Valid message dissemination
dissemination,20,3,27,SUCCESS,Valid message dissemination
dissemination,20,3,28,SUCCESS,Valid message dissemination
dissemination,20,3,29,SUCCESS,Valid message dissemination
dissemination,20,3,30,SUCCESS,Valid message dissemination
dissemination,50,3,1,SUCCESS,Valid message dissemination
dissemination,50,3,2,SUCCESS,Valid message dissemination
dissemination,50,3,3,SUCCESS,Valid message dissemination
dissemination,50,3,4,SUCCESS,Valid message dissemination
dissemination,50,3,5,SUCCESS,Valid message dissemination
dissemination,50,3,6,SUCCESS,Valid message dissemination
dissemination,50,3,7,SUCCESS,Valid message dissemination
dissemination,50,3,8,SUCCESS,Valid message dissemination
dissemination,50,3,9,SUCCESS,Valid message dissemination
dissemination,50,3,10,SUCCESS,Valid message dissemination
dissemination,50,3,11,SUCCESS,Valid message dissemination
dissemination,50,3,12,SUCCESS,Valid message dissemination
dissemination,50,3,13,SUCCESS,Valid message dissemination
dissemination,50,3,14,SUCCESS,Valid message dissemination
dissemination,50,3,15,SUCCESS,Valid message dissemination
dissemination,50,3,16,SUCCESS,Valid message dissemination
dissemination,50,3,17,SUCCESS,Valid message dissemination
dissemination,50,3,18,SUCCESS,Valid message dissemination
dissemination,50,3,19,SUCCESS,Valid message dissemination
dissemination,50,3,20,SUCCESS,Valid message dissemination
dissemination,50,3,21,SUCCESS,Valid message dissemination
dissemination,50,3,22,SUCCESS,Valid message dissemination
dissemination,50,3,23,SUCCESS,Valid message dissemination
dissemination,50,3,24,SUCCESS,Valid message dissemination
dissemination,50,3,25,SUCCESS,Valid message dissemination
dissemination,50,3,26,SUCCESS,Valid message dissemination
dissemination,50,3,27,SUCCESS,Valid message dissemination
dissemination,50,3,28,SUCCESS,Valid message dissemination
dissemination,50,3,29,SUCCESS,Valid message dissemination
dissemination,50,3,30,SUCCESS,Valid message dissemination
dissemination,100,3,1,SUCCESS,Valid message dissemination
dissemination,100,3,2,SUCCESS,Valid message dissemination
dissemination,100,3,3,SUCCESS,Valid message dissemination
dissemination,100,3,4,SUCCESS,Valid message dissemination
dissemination,100,3,5,SUCCESS,Valid message dissemination
dissemination,100,3,6,SUCCESS,Valid message dissemination
dissemination,100,3,7,SUCCESS,Valid message dissemination
dissemination,100,3,8,SUCCESS,Valid message dissemination
dissemination,100,3,9,SUCCESS,Valid message dissemination
dissemination,100,3,10,SUCCESS,Valid message dissemination
dissemination,100,3,11,SUCCESS,Valid message dissemination
dissemination,100,3,12,SUCCESS,Valid message dissemination
dissemination,100,3,13,SUCCESS,Valid message dissemination
dissemination,100,3,14,SUCCESS,Valid message dissemination
dissemination,100,3,15,SUCCESS,Valid message dissemination
dissemination,100,3,16,SUCCESS,Valid message dissemination
dissemination,100,3,17,SUCCESS,Valid message dissemination
dissemination,100,3,18,SUCCESS,Valid message dissemination
dissemination,100,3,19,SUCCESS,Valid message dissemination
dissemination,100,3,20,SUCCESS,Valid message dissemination
dissemination,100,3,21,SUCCESS,Valid message dissemination
dissemination,100,3,22,SUCCESS,Valid message dissemination
dissemination,100,3,23,SUCCESS,Valid message dissemination
dissemination,100,3,24,SUCCESS,Valid message dissemination
dissemination,100,3,25,SUCCESS,Valid message dissemination
dissemination,100,3,26,SUCCESS,Valid message dissemination
dissemination,100,3,27,SUCCESS,Valid message dissemination
dissemination,100,3,28,SUCCESS,Valid message dissemination
dissemination,100,3,29,SUCCESS,Valid message dissemination
dissemination,100,3,30,SUCCESS,Valid message dissemination
topology,20,3,1,SUCCESS,Valid topology adaptation
topology,20,3,2,SUCCESS,Valid topology adaptation
topology,20,3,3,SUCCESS,Valid topology adaptation
topology,20,3,4,SUCCESS,Valid topology adaptation
topology,20,3,5,SUCCESS,Valid topology adaptation
topology,20,3,6,SUCCESS,Valid topology adaptation
topology,20,3,7,SUCCESS,Valid topology adaptation
topology,20,3,8,SUCCESS,Valid topology adaptation
topology,20,3,9,SUCCESS,Valid topology adaptation
topology,20,3,10,SUCCESS,Valid topology adaptation
topology,20,3,11,SUCCESS,Valid topology adaptation
topology,20,3,12,SUCCESS,Valid topology adaptation
topology,20,3,13,SUCCESS,Valid topology adaptation
topology,20,3,14,SUCCESS,Valid topology adaptation
topology,20,3,15,SUCCESS,Valid topology adaptation
topology,20,3,16,SUCCESS,Valid topology adaptation
topology,20,3,17,SUCCESS,Valid topology adaptation
topology,20,3,18,SUCCESS,Valid topology adaptation
topology,20,3,19,SUCCESS,Valid topology adaptation
topology,20,3,20,SUCCESS,Valid topology adaptation
